question_index,question,refined_answer,question_type,original_ground_truth
0,联合政府成立时大会场屏幕上出现了什么内容？,大会场屏幕上显示：UN 变为 UEG。,场景描述类,"新闻画面： 
联合国秘书长在主席台上宣布联合政府成立。 
联合国名称变更（大会会场屏幕上显示：UN 变为 UEG）。 
各国代表鼓掌握手。"
1,UEG大楼门口示威的人举着牌子上的标语内容有哪些？,“三千万亿！？”，“凭什么让我们出钱？！”，“活在当下”，“不婚不育”，“数字生命”，“快乐/躺平百年”,细节描述类,"示威的人群高举着反对这些计划的标语（注释：标语内容为“三千万亿！？”、 
“凭什么让我们出钱？！”、“活在当下”、“不婚不育”、“数字生 
命”、“快乐/躺平百年”等）。"
2,FRAMER的全称是什么？,FRAMER的全称是Frontline Robotic Augmentation for Military Elite Rangers。,专有名词类,"利伯维尔市郊再次发生武装暴乱，UEG 基地的维和部队带着军用机器人（注 
释：Frontline Robotic Augmentation for Military Elite Rangers, 简称 
FRAMER，中文又称军用机器人），荷枪实弹紧急备战。"
3,22岁的郝晓晞出现在了哪些场次中？,"10、INT.日.纽约 UEG 总部大楼 大会会场/走廊/小会议室
场景描述：紧急会议混乱场景，郝晓晞作为中方代表接到电话，周喆直用表情肃杀的表情接通电话，场次中字卡明确标注""郝晓晞，22岁""",场次定位类,"会场内，一位年轻的中方女代表（郝晓晞，22 岁）接到电话。 
郝晓晞 
（对电话） 
好，明白，您稍等。"
4,马卡洛夫出现在了哪些场次和场景里？,"马卡洛夫出现在场次218（""领航员""空间站 出发大厅）、场次240（""领航员""空间站 舱口）、场次236（""领航员""空间站 舱口）和场次274（""领航员""空间站 食堂/环形走廊）。",场次定位类,"1. **场次240**  
   场景：EXT/INT.无日夜.太空 ""领航员""空间站 舱口

2. **场次218**  
   场景：INT.无日夜.太空 ""领航员""空间站 出发大厅

3. **场次236**  
   场景：EXT/INT.无日夜.太空 ""领航员""空间站 舱口

4. **场次274**  
   场景：INT.无日夜.太空 ""领航员""空间站 食堂/环形走廊"
5,张鹏在那些场次背了枪？枪是什么型号？,"4、EXT.日.利伯维尔 战区废墟（QBZ191半自动步枪）

1**QBZ191半自动步枪**
",物品道具类,"一老一少，两个戴着墨镜飞行员着装的男人出现在战后的街道废墟中。中年 
飞行员（张鹏，44 岁）走在前面，挎上半自动步枪（注释：QBZ191）并拉 
栓上膛，腰间别着水壶和剪钳。年轻飞行员跟在侧后方，他腰间配手枪，拎 
着一个不大的挎包，正四处张望，目光所及，都是饱经战争洗礼的残垣断壁 
和枪林弹雨为各种汽车、建筑留下的弹痕，以及杂草丛生的街道。"
6,哪些场次的场景在非洲？,6、EXT/INT.日.利伯维尔 战区废墟 返航途中/J20C 驾驶舱,场次定位类,"J20C 从战区开始返航，飞越非洲中部的热带雨林和小型城镇。飞过的区域， 
时不时有爆炸、枪声，硝烟四起。"
7,移山计划从什么时间变成了流浪地球计划？变更的相关场次是哪场？,"郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的'移山'计划被钢笔划掉，底下手写着'流浪地球'计划。郝晓晞：...在此...宣布'移山'计划正式更名为'流浪地球'计划。该场景标注时间为：**2058年**（字卡显示\""淡入 字卡：2058\""）\n\n2. **相关场次信息**：\n- 场次ID：98-22\n- 场景名称：INT.日.纽约 UEG 总部大楼 大会会场\n- 场次标题：98、EXT/INT.日/夜.一组蒙太奇 → 98-22、INT.日.纽约 UEG 总部大楼 大会会场\n- 场景摘要：宣布计划更名\n\n3. ",时间年份类,"郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的“移山”计划被 
钢笔划掉，底下手写着“流浪地球”计划。 
郝晓晞 
......在此，邀请我们每一个人共同守护属于我 
们全人类的团结，并请允许我代表中国郑重 
宣布“移山”计划正式更名为“流浪地球” 
计划。"
8,剧本里哪场用到了眼罩？,"**场次：17-4**
- 场景：INT.日.利伯维尔 UEG 基地 第二中心医院
- 内容描述：学员们在排队接受视力体检时，刘培强搞怪将两个眼睛都罩上眼罩，随后被基地医生敲击并要求打开。",物品道具类,"其他学员都很认真配合，只有刘培强搞怪，把两个眼睛都罩上。 
基地医生 
（敲眼罩）（英语） 
打开。"
9,刘培强送给韩朵朵的玫瑰花出现在了哪些场次里？,"**场次ID: 19**
   - 场次名：INT.日.利伯维尔 UEG 基地 太空电梯 02 号轿厢
   - 描述：刘培强在太空电梯驾驶区向韩朵朵赠送玫瑰花，两人互动场景。",场次定位类,"刘培强手捧一束花站在镜前，开始演练送花。时而摆出自信万分的手势，时 
而一脸羞涩尴尬。 
宿舍里其他男学员一开始各玩各的，后面也开始八卦地偷瞄这边的动向。法 
国教官看不下去了，直接亲自上手指导。 
法国教官 
（法语） 
再转十五度就完美了。"
