场次,类型,问题,剧本内容,难易程度,召回率
8-5,UI,联合政府成立时大会场屏幕上出现了什么内容？,"新闻画面： 
联合国秘书长在主席台上宣布联合政府成立。 
联合国名称变更（大会会场屏幕上显示：UN 变为 UEG）。 
各国代表鼓掌握手。",难,
8-10,道具,UEG大楼门口示威的人举着牌子上的标语内容有哪些？,"示威的人群高举着反对这些计划的标语（注释：标语内容为“三千万亿！？”、 
“凭什么让我们出钱？！”、“活在当下”、“不婚不育”、“数字生 
命”、“快乐/躺平百年”等）。",难,
8-12,道具,FRAMER的全称是什么？,"利伯维尔市郊再次发生武装暴乱，UEG 基地的维和部队带着军用机器人（注 
释：Frontline Robotic Augmentation for Military Elite Rangers, 简称 
FRAMER，中文又称军用机器人），荷枪实弹紧急备战。",容易,
10,"角色, 剧情",22岁的郝晓晞出现在了哪些场次中？,"会场内，一位年轻的中方女代表（郝晓晞，22 岁）接到电话。 
郝晓晞 
（对电话） 
好，明白，您稍等。",难,
218、236、240、274,"角色, 剧情",马卡洛夫出现在了哪些场次和场景里？,,适中,
4,道具,张鹏在那些场次背了枪？枪是什么型号？,"一老一少，两个戴着墨镜飞行员着装的男人出现在战后的街道废墟中。中年 
飞行员（张鹏，44 岁）走在前面，挎上半自动步枪（注释：QBZ191）并拉 
栓上膛，腰间别着水壶和剪钳。年轻飞行员跟在侧后方，他腰间配手枪，拎 
着一个不大的挎包，正四处张望，目光所及，都是饱经战争洗礼的残垣断壁 
和枪林弹雨为各种汽车、建筑留下的弹痕，以及杂草丛生的街道。",难,
4、6、7、12、13、14、15、17-1、17-2、17-3,场景,哪些场次的场景在非洲？,"J20C 从战区开始返航，飞越非洲中部的热带雨林和小型城镇。飞过的区域， 
时不时有爆炸、枪声，硝烟四起。",适中,
98-22,"剧情, 世界观",移山计划从什么时间变成了流浪地球计划？变更的相关场次是哪场？,"郝晓晞在主席台上发言。手边的文稿上，原来打印字体写的“移山”计划被 
钢笔划掉，底下手写着“流浪地球”计划。 
郝晓晞 
......在此，邀请我们每一个人共同守护属于我 
们全人类的团结，并请允许我代表中国郑重 
宣布“移山”计划正式更名为“流浪地球” 
计划。",难,
17-4,"道具, 场景",剧本里哪场用到了眼罩？,"其他学员都很认真配合，只有刘培强搞怪，把两个眼睛都罩上。 
基地医生 
（敲眼罩）（英语） 
打开。",适中,
17-19、18、19、21、26、28、30、32、36、39、41、53、63,"道具, 场景",刘培强送给韩朵朵的玫瑰花出现在了哪些场次里？,"刘培强手捧一束花站在镜前，开始演练送花。时而摆出自信万分的手势，时 
而一脸羞涩尴尬。 
宿舍里其他男学员一开始各玩各的，后面也开始八卦地偷瞄这边的动向。法 
国教官看不下去了，直接亲自上手指导。 
法国教官 
（法语） 
再转十五度就完美了。",难,
63、64、68、70,"道具, 场景",刘培强送给韩朵朵的玫瑰花从哪场开始坏了？坏了的状态是什么样？持续了多久？,,难,
77,"角色, 场景",哪些场次中图恒宇是29岁？,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤",难,
77,角色,29岁的图恒宇右眼角有伤疤吗？,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤",容易,
77,角色,图恒宇第一次出场是哪个场次？,"（注释：此时梦中的图恒宇 2039 年时 29 岁的模样，数字生命架构工 
程师，右眼角无伤疤",容易,
78,道具,机械狗笨笨的中英文全称是什么？,"一只机械狗（昵称：笨笨，中文全称为多功能全地形智能运输平台，英文为 
Dynamic Omniterrain Guardian System, 英文缩写为 DOG）跑",容易,
80,角色,80场的图恒宇右眼角有伤疤吗？,"图恒宇摸了摸胸口，小心翼翼地从脖子上摘下一个造型独特的备份卡（注释：75 
图丫丫数字生命备份卡）。图恒宇用手掌托着备份卡，一脸兴奋，缓缓将备 
份卡插入 550A 顶端的接口，备份卡亮起红光。笔记本的显示器，一个窗口 
弹出（屏幕显示：连接中）。",难,
80,"角色, 道具",图恒宇在哪些场次里佩戴了数字生命备份卡？,"图恒宇摸了摸胸口，小心翼翼地从脖子上摘下一个造型独特的备份卡（注释：75 
图丫丫数字生命备份卡）。图恒宇用手掌托着备份卡，一脸兴奋，缓缓将备 
份卡插入 550A 顶端的接口，备份卡亮起红光。笔记本的显示器，一个窗口 
弹出（屏幕显示：连接中）。",难,
84,道具,笨笨在哪些场次中出现了？,"平台上，智能机械狗集群被重新启动，开始进行运输和打印工作。 
马兆 
DOG[多功能全地形智能运输平台]集群启动 
完毕，恢复建材打印。",适中,
